Day,Temp,Description
Tonight,21,"Clear, with a low around 21. West wind 7 to 10 mph."
Monday,49,"Sunny, with a high near 49. Southwest wind 6 to 12 mph."
Monday Night,29,"Mostly clear, with a low around 29. Southwest wind 5 to 10 mph."
Tuesday,54,"Partly sunny, with a high near 54. Southwest wind 6 to 12 mph."
Tuesday Night,31,"Mostly cloudy, with a low around 31. Southwest wind 2 to 9 mph."
Wednesday,55,"A slight chance of rain showers after 2pm. Mostly cloudy, with a high near 55. Chance of precipitation is 20%."
Wednesday Night,42,"A chance of rain showers. Mostly cloudy, with a low around 42. Chance of precipitation is 50%."
Thursday,58,"Rain showers likely. Mostly cloudy, with a high near 58. Chance of precipitation is 70%."
Thursday Night,45,"Rain showers likely. Cloudy, with a low around 45. Chance of precipitation is 70%."
Friday,54,"Rain showers likely. Cloudy, with a high near 54. Chance of precipitation is 60%."
Friday Night,36,"A chance of rain showers before 2am, then a chance of rain and snow showers. Mostly cloudy, with a low around 36. Chance of precipitation is 50%."
Saturday,50,"A chance of rain and snow showers. Mostly cloudy, with a high near 50. Chance of precipitation is 50%."
Saturday Night,34,"A chance of rain showers before 2am. Mostly cloudy, with a low around 34. Chance of precipitation is 50%."
Sunday,50,"A slight chance of rain showers after 8am. Partly sunny, with a high near 50."
